Filename,Frame,Time (HMS),Period,Period time (HMS),Length (mm),Precision (mm),RMS (mm),Range (mm),Direction (deg),Horz. Dir. (deg),Vert. Dir. (deg),Mid X (mm),Mid Y (mm),Mid Z (mm),OpCode,TapeReader,Depth,Family,Genus,Species,Code,Number,Stage,Activity,Comment
PL_L_WRECK_W_7-2-21_P02.MP4,13254,17:22.8,T2,00:56.1,156.117,66.648,51.232,4571.249,31.8,35.653,28.502,2204.919,-969.974,-3885.074,Wreck_East_07022021,GFG,30-37m,Pomacentridae,Chromis,,,3,AD,Passing,xanthura
PL_L_WRECK_W_7-2-21_P02.MP4,13461,17:29.8,T2,01:03.0,94.319,10.984,5.436,1732.586,31.75,39.473,17.737,-898.199,-156.421,-1473.304,Wreck_East_07022021,GFG,30-37m,Pomacanthidae,Centropyge,,,1,AD,Passing,heraldi
PL_L_WRECK_W_7-2-21_P02.MP4,13543,17:32.5,T2,01:05.8,147.796,15.39,28.878,2309.461,25.46,23.7,22.288,914.764,-385.837,-2085.173,Wreck_East_07022021,GFG,30-37m,Acanthuridae,Acanthurus,pyroferus,37437017,1,AD,Passing,
PL_L_WRECK_W_7-2-21_P02.MP4,13718,17:38.3,T2,01:11.6,54.07,11.492,9.778,1395.228,19.331,82.096,3.035,-441.509,-135.568,-1316.568,Wreck_East_07022021,GFG,30-37m,Pomacentridae,Dascyllus,reticulatus,37372074,18,AD,Passing,
PL_L_WRECK_W_7-2-21_P02.MP4,13825,17:41.9,T2,01:15.2,229.049,17.493,20.07,3741.035,21.34,10.63,61.998,-1310.993,366.884,-3484.543,Wreck_East_07022021,GFG,30-37m,Balistidae,Balistoides,viridescens,37465048,1,AD,Passing,
PL_L_WRECK_W_7-2-21_P02.MP4,13825,17:41.9,T2,01:15.2,245.301,39.632,52.383,4343.397,24.795,14.65,19.383,1210.214,-1361.371,-3942.987,Wreck_East_07022021,GFG,30-37m,Scaridae,Scarus,oviceps,37386022,2,AD,Passing,
PL_L_WRECK_W_7-2-21_P02.MP4,13919,17:45.0,T2,01:18.3,202.542,29.223,40.116,3613.684,24.419,15.523,10.205,1061.78,-1050.921,-3290.426,Wreck_East_07022021,GFG,30-37m,Acanthuridae,Acanthurus,pyroferus,37437017,1,AD,Passing,
PL_L_WRECK_W_7-2-21_P02.MP4,13919,17:45.0,T2,01:18.3,129.452,37.891,42.804,3484.455,29.584,26.682,13.942,1531.632,-783.239,-3030.193,Wreck_East_07022021,GFG,30-37m,Pomacentridae,Chromis,,,3,AD,Passing,xanthura
PL_L_WRECK_W_7-2-21_P02.MP4,14023,17:48.5,T2,01:21.8,97.238,11.163,10.844,1956.121,33.078,23.538,18.259,-918.537,-544.139,-1639.088,Wreck_East_07022021,GFG,30-37m,Pomacanthidae,Genicanthus,,,1,AD,Passing,watanabei
PL_L_WRECK_W_7-2-21_P02.MP4,14056,17:49.6,T2,01:22.9,96.465,7.89,23.246,2208.181,21.718,11.383,28.597,284.914,-765.812,-2051.443,Wreck_East_07022021,GFG,30-37m,Chaetodontidae,Chaetodon,kleinii,37365040,1,AD,Passing,
PL_L_WRECK_W_7-2-21_P02.MP4,14137,17:52.3,T2,01:25.6,156.108,12.069,22.168,2445.645,8.117,17.775,1.228,-106.209,-328.557,-2421.146,Wreck_East_07022021,GFG,30-37m,Balistidae,Rhinecanthus,,,1,AD,Passing,lunula
PL_L_WRECK_W_7-2-21_P02.MP4,14222,17:55.1,T2,01:28.4,37.528,3.219,7.636,959.284,30.442,39.073,22.018,-395.226,-282.896,-827.038,Wreck_East_07022021,GFG,30-37m,Pomacentridae,Chrysiptera,,,1,AD,Passing,flavipinnis
PL_L_WRECK_W_7-2-21_P02.MP4,14310,17:58.1,T2,01:31.4,140.764,9.841,8.379,1921.867,22.509,15.458,13.582,-735.583,-15.06,-1775.462,Wreck_East_07022021,GFG,30-37m,Pomacentridae,Chromis,,,1,AD,Passing,xanthura
PL_L_WRECK_W_7-2-21_P02.MP4,14623,18:08.5,T2,01:41.8,60.981,14.85,2.412,1880.437,35.993,68.064,8.286,-1088.844,-188.859,-1521.445,Wreck_East_07022021,GFG,30-37m,Pomacentridae,Chrysiptera,,,1,AD,Passing,flavipinnis
PL_L_WRECK_W_7-2-21_P02.MP4,14985,18:20.6,T2,01:53.9,98.49,31.563,41.141,2894.183,39.935,86.255,14.166,1645.038,-863.367,-2219.177,Wreck_East_07022021,GFG,30-37m,Pomacanthidae,Genicanthus,,,1,AD,Passing,watanabei
PL_L_WRECK_W_7-2-21_P02.MP4,15542,18:39.2,T2,02:12.5,249.888,72.188,25.609,3911.204,20.112,52.287,10.239,-1266.68,451.901,-3672.714,Wreck_East_07022021,GFG,30-37m,Acanthuridae,Acanthurus,olivaceus,37437016,3,AD,,
PL_L_WRECK_W_7-2-21_P02.MP4,16105,18:58.0,T2,02:31.3,268.523,19.656,15.798,2845.568,31.733,18.206,32.443,-1095.233,1019.997,-2420.192,Wreck_East_07022021,GFG,30-37m,Acanthuridae,Acanthurus,,,4,AD,Passing,albipectoralis
PL_L_WRECK_W_7-2-21_P02.MP4,17751,19:52.9,T3,00:00.6,233.339,21.962,21.613,3605.175,12.943,14.158,3.187,-386.774,708.865,-3513.574,Wreck_East_07022021,GFG,30-37m,Acanthuridae,Acanthurus,olivaceus,37437016,1,AD,,
PL_L_WRECK_W_7-2-21_P02.MP4,17827,19:55.4,T3,00:03.2,239.388,45.522,13.016,3114.874,29.342,65.393,10.905,-1375.18,662.355,-2715.254,Wreck_East_07022021,GFG,30-37m,Acanthuridae,Acanthurus,pyroferus,37437017,2,AD,Passing,
PL_L_WRECK_W_7-2-21_P02.MP4,17842,19:55.9,T3,00:03.7,346.187,33.559,15.198,2649.109,19.351,52.579,12.458,-833.311,275.836,-2499.456,Wreck_East_07022021,GFG,30-37m,Mullidae,Parupeneus,multifasciatus,37355026,1,AD,Passing,
PL_L_WRECK_W_7-2-21_P02.MP4,17875,19:57.0,T3,00:04.8,222.032,18.853,10.321,2683.068,26.966,12.937,20.208,-1161.789,361.274,-2391.356,Wreck_East_07022021,GFG,30-37m,Mullidae,Parupeneus,multifasciatus,37355026,2,AD,Passing,
PL_L_WRECK_W_7-2-21_P02.MP4,17917,19:58.4,T3,00:06.2,121.63,14.123,4.298,1812.38,35.818,73.755,10.043,-1037.009,222.543,-1469.629,Wreck_East_07022021,GFG,30-37m,Pomacanthidae,Genicanthus,,,1,AD,Passing,watanabei
PL_L_WRECK_W_7-2-21_P02.MP4,17921,19:58.6,T3,00:06.3,106.697,22.603,26.047,2372,20.642,48.33,27.793,631.777,-547.816,-2219.716,Wreck_East_07022021,GFG,30-37m,Acanthuridae,Ctenochaetus,striatus,37437022,4,AD,Passing,
PL_L_WRECK_W_7-2-21_P02.MP4,17932,19:58.9,T3,00:06.7,126.368,25.198,9.144,2389.765,19.238,44.528,0,-785.649,52.444,-2256.321,Wreck_East_07022021,GFG,30-37m,Acanthuridae,Acanthurus,pyroferus,37437017,1,J,Passing,
PL_L_WRECK_W_7-2-21_P03.MP4,93,20:04.3,T3,00:12.0,233.21,20.951,11.396,2154.88,18.679,47.3,12.393,-676.367,137.243,-2041.372,Wreck_East_07022021,GFG,30-37m,Mullidae,Parupeneus,multifasciatus,37355026,2,AD,Passing,
PL_L_WRECK_W_7-2-21_P03.MP4,140,20:05.9,T3,00:13.6,127.685,16.226,12.579,2420.014,17.423,22.507,17.332,-724.08,27.313,-2308.989,Wreck_East_07022021,GFG,30-37m,Acanthuridae,Ctenochaetus,striatus,37437022,1,AD,Passing,
PL_L_WRECK_W_7-2-21_P03.MP4,287,20:10.8,T3,00:18.5,125.835,24.287,18.009,3494.525,29.211,1.33,10.643,-1200.146,1211.67,-3050.117,Wreck_East_07022021,GFG,30-37m,Pomacentridae,Chromis,,,3,AD,Passing,xanthurus
PL_L_WRECK_W_7-2-21_P03.MP4,287,20:10.8,T3,00:18.5,105.022,43.178,37.736,3457.138,33.561,38.199,10.897,1830.021,-551.138,-2880.812,Wreck_East_07022021,GFG,30-37m,Pomacanthidae,Genicanthus,,,2,AD,Passing,watanabei
PL_L_WRECK_W_7-2-21_P03.MP4,287,20:10.8,T3,00:18.5,215.538,73.509,41.713,4243.291,19.642,50.524,30.52,1426.323,5.072,-3996.385,Wreck_East_07022021,GFG,30-37m,Acanthuridae,Acanthurus,olivaceus,37437016,1,AD,Passing,
PL_L_WRECK_W_7-2-21_P03.MP4,287,20:10.8,T3,00:18.5,254.253,118.045,53.5,5221.957,19.316,44.684,10.477,1719.747,161.571,-4928.002,Wreck_East_07022021,GFG,30-37m,Acanthuridae,Acanthurus,olivaceus,37437016,1,AD,Passing,
PL_L_WRECK_W_7-2-21_P03.MP4,287,20:10.8,T3,00:18.5,157.519,83.647,44.95,4089.854,24.092,65.784,14.905,1660.643,-171.365,-3733.604,Wreck_East_07022021,GFG,30-37m,Acanthuridae,Ctenochaetus,striatus,37437022,1,AD,Passing,
PL_L_WRECK_W_7-2-21_P03.MP4,409,20:14.9,T3,00:22.6,104.111,9.709,8.527,2307.112,34.242,33.007,66.098,-1187.459,524.639,-1907.213,Wreck_East_07022021,GFG,30-37m,Labridae,Labroides,bicolor,37384130,1,AD,Passing,
PL_L_WRECK_W_7-2-21_P03.MP4,456,20:16.4,T3,00:24.2,71.682,12.114,9.285,2167.795,27.983,9.51,24.609,-1010.05,119.919,-1914.355,Wreck_East_07022021,GFG,30-37m,Pomacanthidae,Centropyge,vrolikii,37365032,1,AD,Passing,
PL_L_WRECK_W_7-2-21_P03.MP4,456,20:16.4,T3,00:24.2,231.963,9.085,30.204,3389.752,8.438,5.06,29.663,-203.253,454.006,-3353.056,Wreck_East_07022021,GFG,30-37m,Acanthuridae,Acanthurus,olivaceus,37437016,1,AD,Passing,
PL_L_WRECK_W_7-2-21_P03.MP4,586,20:20.8,T3,00:28.5,45.85,2.853,12.22,1330.857,13.171,6.584,20.047,292.752,-79.064,-1295.849,Wreck_East_07022021,GFG,30-37m,Pomacentridae,Chromis,,,1,AD,Passing,iomelas
PL_L_WRECK_W_7-2-21_P03.MP4,943,20:32.7,T3,00:40.4,99.739,16.671,18.402,2318.452,8.103,28.675,3.182,27.108,-325.686,-2295.303,Wreck_East_07022021,GFG,30-37m,Pomacanthidae,Genicanthus,,,4,AD,Passing,watanabei
PL_L_WRECK_W_7-2-21_P03.MP4,950,20:32.9,T3,00:40.6,168.449,9.307,21.853,2273.634,18.815,14.903,46.034,550.064,-484.924,-2152.136,Wreck_East_07022021,GFG,30-37m,Acanthuridae,Ctenochaetus,striatus,37437022,1,AD,Passing,
PL_L_WRECK_W_7-2-21_P03.MP4,950,20:32.9,T3,00:40.6,244.473,25.406,31.569,3293.577,27.45,9.167,25.89,1354.438,-686.004,-2922.763,Wreck_East_07022021,GFG,30-37m,Scaridae,Scarus,frenatus,37386016,1,AD,Passing,
PL_L_WRECK_W_7-2-21_P03.MP4,950,20:32.9,T3,00:40.6,117.092,38.21,17.436,3415.729,20.971,39.206,35.305,-928.866,794.764,-3189.477,Wreck_East_07022021,GFG,30-37m,Pomacentridae,Chromis,,,1,AD,Passing,xanthura
PL_L_WRECK_W_7-2-21_P03.MP4,950,20:32.9,T3,00:40.6,399.548,70.468,26.436,4428.315,9.091,37.652,25.893,-676.834,177.346,-4372.69,Wreck_East_07022021,GFG,30-37m,Aulostomidae,Aulostomus,chinensis,37277001,1,AD,Passing,
PL_L_WRECK_W_7-2-21_P03.MP4,1090,20:37.6,T3,00:45.3,138.849,7.032,13.201,1672.698,26.558,8.396,18.631,-710.573,233.186,-1496.205,Wreck_East_07022021,GFG,30-37m,Scaridae,Scarus,dimidiatus,37386013,1,AD,Passing,
PL_L_WRECK_W_7-2-21_P03.MP4,1182,20:40.6,T3,00:48.4,53.688,8.609,19.736,1654.358,33.378,22.071,3.648,842.19,-345.107,-1381.49,Wreck_East_07022021,GFG,30-37m,Pomacentridae,Chromis,,,10,AD,Passing,iomelas
PL_L_WRECK_W_7-2-21_P03.MP4,1307,20:44.8,T3,00:52.6,55.218,15.329,5.009,2227.485,36.295,11.406,12.573,-1309.929,-150.477,-1795.308,Wreck_East_07022021,GFG,30-37m,Pomacanthidae,Centropyge,,,2,AD,Passing,heraldi
