"Survey","Reef","Site","Transect","Length_mm","Family","Genus","Species","Number","Comment","T_ID"
NA,"Bougainville","BVille_1","T12",174.535,"Zanclidae","Zanclus","cornutus",1,NA,"NA_BVille_1_T12"
NA,"Bougainville","BVille_1","T12",91.866,"Pomacentridae","Chromis","alpha",6,NA,"NA_BVille_1_T12"
NA,"Bougainville","BVille_1","T12",171.388,"Caesionidae","Pterocaesio","tile",6,NA,"NA_BVille_1_T12"
NA,"Bougainville","BVille_1","T12",509.729,"Lutjanidae","Macolor","niger",1,NA,"NA_BVille_1_T12"
NA,"Bougainville","BVille_1","T12",149.153,"Acanthuridae","Acanthurus","thompsoni",4,NA,"NA_BVille_1_T12"
NA,"Bougainville","BVille_1","T13",444.111,"Acanthuridae","Naso","vlamingii",1,NA,"NA_BVille_1_T13"
NA,"Bougainville","BVille_1","T13",143.153,"Pomacentridae","Chromis","xanthochira",5,NA,"NA_BVille_1_T13"
NA,"Bougainville","BVille_1","T13",112,"Serranidae","Pseudanthias","pleurotaenia",6,NA,"NA_BVille_1_T13"
NA,"Bougainville","BVille_1","T13",194.062,"Scaridae","Scarus","sp",1,NA,"NA_BVille_1_T13"
NA,"Bougainville","BVille_1","T13",75.187,"Pomacentridae","Chromis","amboinensis",12,NA,"NA_BVille_1_T13"
NA,"Bougainville","BVille_1","T13",32.777,"Pomacentridae","Chromis","iomelas",4,NA,"NA_BVille_1_T13"
NA,"Bougainville","BVille_1","T13",98.257,"Labridae","Oxycheilinus","orientalis",1,NA,"NA_BVille_1_T13"
NA,"Bougainville","BVille_1","T13",117.591,"Serranidae","Pseudanthias","pleurotaenia",3,NA,"NA_BVille_1_T13"
NA,"Bougainville","BVille_1","T13",90.895,"Serranidae","Pseudanthias","pleurotaenia",3,NA,"NA_BVille_1_T13"
NA,"Bougainville","BVille_1","T13",67.75,"Pomacentridae","Chromis","amboinensis",5,NA,"NA_BVille_1_T13"
NA,"Bougainville","BVille_1","T13",63.371,"Pomacentridae","Chromis","alpha",8,NA,"NA_BVille_1_T13"
NA,"Bougainville","BVille_1","T13",64.444,"Pomacentridae","Chromis","iomelas",12,NA,"NA_BVille_1_T13"
NA,"Bougainville","BVille_1","T13",177.04,"Labridae","Pseudodax","moluccanus",1,NA,"NA_BVille_1_T13"
NA,"Bougainville","BVille_1","T13",74.313,"Pomacentridae","Chromis","alpha",8,NA,"NA_BVille_1_T13"
NA,"Bougainville","BVille_1","T13",112.986,"Pomacentridae","Chromis","xanthochira",2,NA,"NA_BVille_1_T13"
NA,"Bougainville","BVille_1","T13",196.298,"Serranidae","Cephalopholis","leopardus",1,NA,"NA_BVille_1_T13"
NA,"Bougainville","BVille_1","T14",99.469,"Pomacentridae","Acanthochromis","polyacanthus",10,NA,"NA_BVille_1_T14"
NA,"Bougainville","BVille_1","T14",86.936,"Pomacentridae","Chromis","xanthochira",1,NA,"NA_BVille_1_T14"
NA,"Bougainville","BVille_1","T14",66.604,"Pomacentridae","Chromis","amboinensis",10,NA,"NA_BVille_1_T14"
NA,"Bougainville","BVille_1","T14",125.873,"Pomacentridae","Amblyglyphidodon","aureus",1,NA,"NA_BVille_1_T14"
NA,"Bougainville","BVille_1","T14",59.748,"Pomacentridae","Chromis","alpha",3,NA,"NA_BVille_1_T14"
NA,"Bougainville","BVille_1","T14",65.829,"Pomacentridae","Chromis","amboinensis",8,NA,"NA_BVille_1_T14"
NA,"Bougainville","BVille_1","T14",144.75,"Mullidae","Parupeneus","multifasciatus",1,NA,"NA_BVille_1_T14"
NA,"Bougainville","BVille_1","T14",286.431,"Caesionidae","Pterocaesio","tile",5,NA,"NA_BVille_1_T14"
NA,"Bougainville","BVille_1","T14",92.716,"Serranidae","Pseudanthias","tuka",25,NA,"NA_BVille_1_T14"
NA,"Bougainville","BVille_1","T14",144.303,"Acanthuridae","Acanthurus","thompsoni",3,NA,"NA_BVille_1_T14"
NA,"Bougainville","BVille_1","T14",80.973,"Pomacentridae","Chromis","amboinensis",6,NA,"NA_BVille_1_T14"
NA,"Bougainville","BVille_1","T14",104.101,"Pomacentridae","Chromis","alpha",18,NA,"NA_BVille_1_T14"
NA,"Bougainville","BVille_1","T14",126.494,"Acanthuridae","Acanthurus","thompsoni",6,NA,"NA_BVille_1_T14"
NA,"Bougainville","BVille_1","T14",151.555,"Holocentridae","Myripristis",NA,2,NA,"NA_BVille_1_T14"
NA,"Bougainville","BVille_1","T14",47.403,"Pomacentridae","Chromis","iomelas",12,NA,"NA_BVille_1_T14"
NA,"Bougainville","BVille_1","T14",82.274,"Pomacentridae","Chromis","amboinensis",14,NA,"NA_BVille_1_T14"
NA,"Bougainville","BVille_1","T14",131.532,"Pomacentridae","Amblyglyphidodon","aureus",1,NA,"NA_BVille_1_T14"
NA,"Bougainville","BVille_1","T14",68.825,"Serranidae","Pseudanthias","tuka",15,NA,"NA_BVille_1_T14"
NA,"Bougainville","BVille_1","T14",77.342,"Pomacentridae","Chromis","amboinensis",18,NA,"NA_BVille_1_T14"
NA,"Bougainville","BVille_1","T14",70.938,"Pomacentridae","Chromis","alpha",18,NA,"NA_BVille_1_T14"
NA,"Bougainville","BVille_1","T14",100.226,"Serranidae","Pseudanthias","pleurotaenia",5,NA,"NA_BVille_1_T14"
NA,"Bougainville","BVille_1","T14",671.675,"Lutjanidae","Macolor","niger",1,NA,"NA_BVille_1_T14"
NA,"Bougainville","BVille_1","T14",117.185,"Serranidae","Pseudanthias","pleurotaenia",12,NA,"NA_BVille_1_T14"
NA,"Bougainville","BVille_1","T14",44.787,"Pomacentridae","Chromis","iomelas",20,NA,"NA_BVille_1_T14"
NA,"Bougainville","BVille_1","T14",70.237,"Pomacentridae","Chromis","alpha",8,NA,"NA_BVille_1_T14"
NA,"Bougainville","BVille_1","T15",72.826,"Pomacentridae","Chromis","amboinensis",5,NA,"NA_BVille_1_T15"
NA,"Bougainville","BVille_1","T15",76.817,"Serranidae","Pseudanthias","pleurotaenia",4,NA,"NA_BVille_1_T15"
NA,"Bougainville","BVille_1","T15",82.612,"Chaetodontidae","Chaetodon","kleinii",1,NA,"NA_BVille_1_T15"
NA,"Bougainville","BVille_1","T15",48.223,"Pomacentridae","Chromis","iomelas",8,NA,"NA_BVille_1_T15"
NA,"Bougainville","BVille_1","T15",83.344,"Serranidae","Pseudanthias","tuka",18,NA,"NA_BVille_1_T15"
NA,"Bougainville","BVille_1","T15",98.151,"Pomacentridae","Chromis","alpha",6,NA,"NA_BVille_1_T15"
NA,"Bougainville","BVille_1","T15",70.376,"Pomacentridae","Chromis","amboinensis",7,NA,"NA_BVille_1_T15"
NA,"Bougainville","BVille_1","T15",148.566,"Serranidae","Pseudanthias","pleurotaenia",2,NA,"NA_BVille_1_T15"
NA,"Bougainville","BVille_1","T15",59.772,"Pomacentridae","Chromis","amboinensis",16,NA,"NA_BVille_1_T15"
NA,"Bougainville","BVille_1","T15",89.061,"Pomacentridae","Dascyllus","reticulatus",1,NA,"NA_BVille_1_T15"
NA,"Bougainville","BVille_1","T15",108.404,"Pomacentridae","Amblyglyphidodon","aureus",1,NA,"NA_BVille_1_T15"
NA,"Bougainville","BVille_1","T15",112.454,"Acanthuridae","Acanthurus","thompsoni",4,NA,"NA_BVille_1_T15"
